strategy,direction,reason,entry_price,take_profit_pips,stop_loss_pips,level,trailing_stop_step_pips,trailing_stop_level,trailing_stop_price,exit_price
price_action,buy,rejection at resistance,3352.065,2400.0,1200.0,1,1200.0,1,3340.065,
price_action,sell,rejection at support,3347.548,2400.0,1200.0,1,1200.0,1,3359.548,
trend_following,sell,EMA pullback breakout,3346.975,2400.0,1200.0,1,1200.0,1,3358.975,
scalping,sell,EMA crossover,3346.975,2400.0,1200.0,1,1200.0,1,3358.975,
price_action,sell,rejection at support,3342.248,2400.0,1200.0,1,1200.0,1,3354.248,
session_breakout,sell,breakout below session range,3342.248,2400.0,1200.0,1,1200.0,1,3354.248,
price_action,sell,rejection at support,3340.248,2400.0,1200.0,1,1200.0,1,3352.248,
session_breakout,sell,breakout below session range,3340.248,2400.0,1200.0,1,1200.0,1,3352.248,
trend_following,sell,EMA pullback breakout,3338.805,2400.0,1200.0,1,1200.0,1,3350.805,
scalping,sell,EMA crossover,3338.805,2400.0,1200.0,1,1200.0,1,3350.805,
price_action,sell,rejection at support,3330.025,2400.0,1200.0,1,1200.0,1,3342.025,
session_breakout,sell,breakout below session range,3330.025,2400.0,1200.0,1,1200.0,1,3342.025,
price_action,sell,rejection at support,3337.155,2400.0,1200.0,1,1200.0,1,3349.155,
session_breakout,sell,breakout below session range,3337.155,2400.0,1200.0,1,1200.0,1,3349.155,
trend_following,sell,EMA pullback breakout,3335.535,2400.0,1200.0,1,1200.0,1,3347.535,
price_action,sell,rejection at support,3335.535,2400.0,1200.0,1,1200.0,1,3347.535,
scalping,sell,EMA crossover,3335.535,2400.0,1200.0,1,1200.0,1,3347.535,
session_breakout,sell,breakout below session range,3335.535,2400.0,1200.0,1,1200.0,1,3347.535,
price_action,sell,rejection at support,3336.715,2400.0,1200.0,1,1200.0,1,3348.715,
session_breakout,sell,breakout below session range,3336.715,2400.0,1200.0,1,1200.0,1,3348.715,
price_action,sell,rejection at support,3337.185,2400.0,1200.0,1,1200.0,1,3349.185,
trend_following,sell,EMA pullback breakout,3334.555,2400.0,1200.0,1,1200.0,1,3346.555,
price_action,sell,rejection at support,3334.555,2400.0,1200.0,1,1200.0,1,3346.555,
scalping,sell,EMA crossover,3334.555,2400.0,1200.0,1,1200.0,1,3346.555,
session_breakout,sell,breakout below session range,3334.555,2400.0,1200.0,1,1200.0,1,3346.555,
price_action,buy,rejection at resistance,3345.975,2400.0,1200.0,1,1200.0,1,3333.975,
session_breakout,buy,breakout above session range,3345.975,2400.0,1200.0,1,1200.0,1,3333.975,
price_action,buy,rejection at resistance,3348.525,2400.0,1200.0,1,1200.0,1,3336.525,
session_breakout,buy,breakout above session range,3348.525,2400.0,1200.0,1,1200.0,1,3336.525,
price_action,buy,rejection at resistance,3351.298,2400.0,1200.0,1,1200.0,1,3339.298,
session_breakout,buy,breakout above session range,3351.298,2400.0,1200.0,1,1200.0,1,3339.298,
price_action,buy,rejection at resistance,3352.095,2400.0,1200.0,1,1200.0,1,3340.095,
session_breakout,buy,breakout above session range,3352.095,2400.0,1200.0,1,1200.0,1,3340.095,
price_action,buy,rejection at resistance,3354.905,2400.0,1200.0,1,1200.0,1,3342.905,
session_breakout,buy,breakout above session range,3354.905,2400.0,1200.0,1,1200.0,1,3342.905,
price_action,buy,rejection at resistance,3355.935,2400.0,1200.0,1,1200.0,1,3343.935,
session_breakout,buy,breakout above session range,3355.935,2400.0,1200.0,1,1200.0,1,3343.935,
price_action,buy,rejection at resistance,3358.045,2400.0,1200.0,1,1200.0,1,3346.045,
session_breakout,buy,breakout above session range,3358.045,2400.0,1200.0,1,1200.0,1,3346.045,
price_action,buy,rejection at resistance,3360.315,2400.0,1200.0,1,1200.0,1,3348.315,
session_breakout,buy,breakout above session range,3360.315,2400.0,1200.0,1,1200.0,1,3348.315,
price_action,buy,rejection at resistance,3364.375,2400.0,1200.0,1,1200.0,1,3352.375,
session_breakout,buy,breakout above session range,3364.375,2400.0,1200.0,1,1200.0,1,3352.375,
price_action,sell,rejection at support,3355.198,2400.0,1200.0,1,1200.0,1,3367.198,
session_breakout,sell,breakout below session range,3355.198,2400.0,1200.0,1,1200.0,1,3367.198,
price_action,sell,rejection at support,3350.255,2400.0,1200.0,1,1200.0,1,3362.255,
session_breakout,sell,breakout below session range,3350.255,2400.0,1200.0,1,1200.0,1,3362.255,
price_action,sell,rejection at support,3345.835,2400.0,1200.0,1,1200.0,1,3357.835,
scalping,sell,EMA crossover,3345.835,2400.0,1200.0,1,1200.0,1,3357.835,
session_breakout,sell,breakout below session range,3345.835,2400.0,1200.0,1,1200.0,1,3357.835,
price_action,sell,rejection at support,3344.525,2400.0,1200.0,1,1200.0,1,3356.525,
session_breakout,sell,breakout below session range,3344.525,2400.0,1200.0,1,1200.0,1,3356.525,
price_action,buy,rejection at resistance,3350.825,2400.0,1200.0,1,1200.0,1,3338.825,
session_breakout,buy,breakout above session range,3350.825,2400.0,1200.0,1,1200.0,1,3338.825,
price_action,buy,rejection at resistance,3350.498,2400.0,1200.0,1,1200.0,1,3338.498,
trend_following,buy,EMA pullback breakout,3352.548,2400.0,1200.0,1,1200.0,1,3340.548,
price_action,buy,rejection at resistance,3352.548,2400.0,1200.0,1,1200.0,1,3340.548,
scalping,buy,EMA crossover,3352.548,2400.0,1200.0,1,1200.0,1,3340.548,
session_breakout,buy,breakout above session range,3352.548,2400.0,1200.0,1,1200.0,1,3340.548,
price_action,buy,rejection at resistance,3359.135,2400.0,1200.0,1,1200.0,1,3347.135,
session_breakout,buy,breakout above session range,3359.135,2400.0,1200.0,1,1200.0,1,3347.135,
price_action,sell,rejection at support,3350.325,2400.0,1200.0,1,1200.0,1,3362.325,
session_breakout,sell,breakout below session range,3350.325,2400.0,1200.0,1,1200.0,1,3362.325,
trend_following,sell,EMA pullback breakout,3344.665,2400.0,1200.0,1,1200.0,1,3356.665,
price_action,sell,rejection at support,3344.665,2400.0,1200.0,1,1200.0,1,3356.665,
scalping,sell,EMA crossover,3344.665,2400.0,1200.0,1,1200.0,1,3356.665,
session_breakout,sell,breakout below session range,3344.665,2400.0,1200.0,1,1200.0,1,3356.665,
price_action,sell,rejection at support,3345.735,2400.0,1200.0,1,1200.0,1,3357.735,
price_action,sell,rejection at support,3311.848,2400.0,1200.0,1,1200.0,1,3323.848,
session_breakout,sell,breakout below session range,3311.848,2400.0,1200.0,1,1200.0,1,3323.848,
price_action,sell,rejection at support,3328.095,2400.0,1200.0,1,1200.0,1,3340.095,
price_action,sell,rejection at support,3326.405,2400.0,1200.0,1,1200.0,1,3338.405,
