strategy,direction,reason,entry_price,take_profit_pips,stop_loss_pips,level
trend_following,buy,EMA pullback breakout,3484.895,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3537.075,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3536.705,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3544.065,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3549.069,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3552.415,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3552.025,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3553.075,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3594.145,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3594.205,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3636.648,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3655.305,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3652.475,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3635.985,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3650.105,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3646.375,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3636.348,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3650.965,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3650.848,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3649.775,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3642.885,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3636.348,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3645.315,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3637.455,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3644.275,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3644.525,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3695.485,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3690.835,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3678.555,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3663.055,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3653.795,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3656.448,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3749.985,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3780.948,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3764.715,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3771.498,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3732.515,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3749.885,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3750.925,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3777.185,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3843.705,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3866.615,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3869.605,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3849.335,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3944.645,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3966.115,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3961.398,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4032.685,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4034.315,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3972.855,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3980.455,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4008.865,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3983.195,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4003.748,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4140.498,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4139.285,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4140.798,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4207.945,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4198.735,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4198.095,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4233.548,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4339.405,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4224.805,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4243.559,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4260.545,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4087.219,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4077.405,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4119.485,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4132.425,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4114.225,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4103.865,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4071.335,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3983.655,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3936.205,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3952.995,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3960.965,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3995.048,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4015.515,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4018.939,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3978.618,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4000.165,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4013.235,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3997.815,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4010.105,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3984.455,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3960.685,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,3969.348,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,3983.145,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4005.565,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4020.495,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4010.515,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4143.125,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4127.175,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4127.815,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4199.505,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4188.065,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4178.005,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4084.705,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4088.055,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4067.845,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4076.995,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4069.155,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4065.255,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4075.445,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4096.205,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4063.095,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4058.915,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4082.788,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4064.275,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4067.098,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4141.248,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4139.785,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4141.435,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4165.355,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4162.035,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4157.305,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4158.735,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4160.845,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4157.675,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4174.085,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4236.725,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4188.965,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4213.925,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4213.345,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4205.775,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4190.245,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4204.625,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4209.345,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4209.595,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4212.095,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4202.805,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4188.945,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4186.575,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4205.725,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4214.705,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4192.285,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4204.645,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4193.835,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4212.015,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4187.445,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4216.365,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4220.395,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4218.945,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4219.525,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4275.205,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4277.575,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4304.395,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4314.515,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4289.475,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4308.635,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4312.248,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4327.815,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4336.465,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4336.315,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4314.025,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4328.295,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4326.895,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4348.105,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4478.355,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4494.925,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4488.835,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4517.508,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4530.875,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4514.425,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4516.085,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4365.915,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4347.898,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4322.618,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4429.545,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4459.225,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4461.858,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4464.095,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4467.495,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4447.248,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4468.745,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4467.845,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4486.548,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4593.955,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4593.835,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4602.309,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4604.885,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4635.005,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4609.845,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4589.785,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4616.198,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4604.735,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4614.819,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4611.275,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4595.785,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4609.805,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4600.395,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4606.785,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4595.955,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4607.445,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4564.855,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4670.775,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4673.855,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4821.115,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4829.255,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4939.225,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5095.235,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5066.375,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5089.065,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5094.945,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5279.025,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5278.955,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5540.695,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5525.585,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5543.298,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5397.988,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4680.435,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4951.365,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4914.295,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4862.245,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4836.835,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5021.875,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5020.745,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5048.505,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5052.675,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5029.898,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5033.835,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5084.548,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5071.565,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5073.725,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5075.245,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5070.435,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4957.965,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4949.755,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5030.155,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5001.835,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5006.985,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4990.218,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4989.525,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4921.445,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4920.325,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4981.245,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4999.265,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5001.505,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5006.085,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4999.445,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5155.795,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5160.165,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5141.345,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5173.955,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5187.705,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5190.935,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5189.155,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5186.895,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5182.935,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5173.095,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5176.925,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5193.825,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5186.785,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5186.525,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5341.635,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5134.165,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5165.035,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5148.325,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5154.095,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5155.605,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5114.345,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5089.155,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5129.448,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5091.375,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5086.975,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5179.525,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5211.155,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,5182.965,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5169.665,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5150.555,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5159.065,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5104.025,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5079.235,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5010.645,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5002.225,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4991.705,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5001.818,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5001.585,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5014.775,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,5007.495,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4999.505,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4988.439,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4833.485,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4668.885,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4673.405,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4375.325,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4405.895,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4343.995,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4369.385,2400.0,1200.0,1
trend_following,sell,EMA pullback breakout,4377.885,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4455.425,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4560.795,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4565.445,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4558.595,2400.0,1200.0,1
trend_following,buy,EMA pullback breakout,4568.595,2400.0,1200.0,1
